2						
preset PWM Value =  900						
Turn Off Time[ms]=  500						
Time(msec)	 PWMvalue	 Position	 Velocity(per5[ms])	Duty(%)	Position(deg)	V(deg/s)
0	0	0	0	0	0	0
10	900	4	4	90	1.8	360
20	900	24	11	90	10.8	990
30	900	54	16	90	24.3	1440
40	900	94	21	90	42.3	1890
50	900	138	24	90	62.1	2160
60	900	184	23	90	82.8	2070
70	900	235	26	90	105.75	2340
80	900	289	27	90	130.05	2430
90	900	344	28	90	154.8	2520
100	900	400	28	90	180	2520
110	900	458	29	90	206.1	2610
120	900	518	30	90	233.1	2700
130	900	578	30	90	260.1	2700
140	900	638	30	90	287.1	2700
150	900	700	30	90	315	2700
160	900	763	32	90	343.35	2880
170	900	824	31	90	370.8	2790
180	900	887	32	90	399.15	2880
190	900	951	33	90	427.95	2970
200	900	1014	31	90	456.3	2790
210	900	1076	31	90	484.2	2790
220	900	1140	32	90	513	2880
230	900	1204	32	90	541.8	2880
240	900	1268	32	90	570.6	2880
250	900	1331	32	90	598.95	2880
260	900	1394	32	90	627.3	2880
270	900	1459	33	90	656.55	2970
280	900	1523	31	90	685.35	2790
290	900	1586	31	90	713.7	2790
300	900	1649	32	90	742.05	2880
310	900	1714	33	90	771.3	2970
320	900	1778	31	90	800.1	2790
330	900	1841	31	90	828.45	2790
340	900	1904	31	90	856.8	2790
350	900	1969	32	90	886.05	2880
360	900	2032	32	90	914.4	2880
370	900	2095	31	90	942.75	2790
380	900	2159	32	90	971.55	2880
390	900	2223	32	90	1000.35	2880
400	900	2287	32	90	1029.15	2880
410	900	2351	32	90	1057.95	2880
420	900	2415	32	90	1086.75	2880
430	900	2479	32	90	1115.55	2880
440	900	2544	33	90	1144.8	2970
450	900	2608	32	90	1173.6	2880
460	900	2672	32	90	1202.4	2880
470	900	2736	32	90	1231.2	2880
480	900	2799	31	90	1259.55	2790
490	900	2865	33	90	1289.25	2970
500	900	2929	32	90	1318.05	2880
510	0	2991	31	0	1345.95	2790
520	0	3053	30	0	1373.85	2700
530	0	3115	31	0	1401.75	2790
540	0	3174	30	0	1428.3	2700
550	0	3230	28	0	1453.5	2520
560	0	3285	28	0	1478.25	2520
570	0	3341	28	0	1503.45	2520
580	0	3395	27	0	1527.75	2430
590	0	3445	25	0	1550.25	2250
600	0	3496	25	0	1573.2	2250
610	0	3546	25	0	1595.7	2250
620	0	3593	23	0	1616.85	2070
630	0	3640	23	0	1638	2070
640	0	3685	22	0	1658.25	1980
650	0	3731	23	0	1678.95	2070
660	0	3773	21	0	1697.85	1890
670	0	3814	21	0	1716.3	1890
680	0	3855	21	0	1734.75	1890
690	0	3896	20	0	1753.2	1800
700	0	3935	19	0	1770.75	1710
710	0	3970	17	0	1786.5	1530
720	0	4006	18	0	1802.7	1620
730	0	4042	18	0	1818.9	1620
740	0	4077	17	0	1834.65	1530
750	0	4109	16	0	1849.05	1440
760	0	4141	16	0	1863.45	1440
770	0	4173	16	0	1877.85	1440
780	0	4203	15	0	1891.35	1350
790	0	4232	14	0	1904.4	1260
800	0	4259	14	0	1916.55	1260
810	0	4286	14	0	1928.7	1260
820	0	4313	14	0	1940.85	1260
830	0	4337	12	0	1951.65	1080
840	0	4360	11	0	1962	990
850	0	4384	12	0	1972.8	1080
860	0	4406	11	0	1982.7	990
870	0	4427	11	0	1992.15	990
880	0	4447	10	0	2001.15	900
890	0	4466	10	0	2009.7	900
900	0	4484	9	0	2017.8	810
910	0	4501	8	0	2025.45	720
920	0	4517	8	0	2032.65	720
930	0	4533	8	0	2039.85	720
940	0	4548	7	0	2046.6	630
950	0	4561	7	0	2052.45	630
960	0	4573	6	0	2057.85	540
970	0	4586	6	0	2063.7	540
980	0	4598	6	0	2069.1	540
990	0	4607	4	0	2073.15	360
1000	0	4617	5	0	2077.65	450
1010	0	4626	5	0	2081.7	450
